Latitude,Longitude,Flood_Status
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977702,8.5455318,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977509,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977508,8.5456073,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977507,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456074,Non-Flooded
47.3977508,8.5456075,Non-Flooded
47.3977508,8.5456075,Non-Flooded
